title,date,pretty_date,url,been_tweeted
"His rage, his pain, his shame, theyre all mine: Jeremy Strong on playing Successions Kendall Roy",2021-10-02,Oct 2021,https://is.gd/aNAcar,0
Ray Liotta: Why havent I worked with Scorsese since Goodfellas? Youd have to ask him. Id love to,2021-09-24,Sep 2021,https://is.gd/g3swUM,0
This Much Is True by Miriam Margolyes review  a wickedly honest memoir,2021-09-22,Sep 2021,https://is.gd/V893JG,0
Opinion writing has changed a lot since I started out. Its time for something new,2021-09-18,Sep 2021,https://is.gd/w7KFwf,0
On 9/11 I learned there are no guarantees in life,2021-09-11,Sep 2021,https://is.gd/kzmTEn,0
This is what I tell friends who are torn about having children,2021-09-04,Sep 2021,https://is.gd/DfPyUJ,0
"Frank Oz on life as Fozzie Bear, Miss Piggy and Yoda: Id love to do the Muppets again but Disney doesnt want me",2021-08-30,Aug 2021,https://is.gd/cx2uRL,0
"Fran Lebowitz: If people disagree with me, so what?",2021-08-28,Aug 2021,https://is.gd/huY7yH,0
Rebranding Prince Andrew? Now theres a real mission impossible,2021-08-28,Aug 2021,https://is.gd/1cobDA,0
Just got a puppy? Heres what a terrier called Arthur taught me about love,2021-08-21,Aug 2021,https://is.gd/t1M5CG,0
On the set of Dumbo with Tim Burton: Like meeting up with your teenage boyfriend,2019-03-21,Mar 2019,https://is.gd/Ayfv06,0
The top 10 Merchant Ivory films ranked!,2019-03-07,Mar 2019,https://is.gd/Wn8gj3,0
"I used to pretend my epilepsy didnt exist. Like a no-deal Brexit, its a dangerous game",2019-03-09,Mar 2019,https://is.gd/iSwPpP,0
Sport can help to clarify the trans debate,2019-03-06,Mar 2019,https://is.gd/vjjdVo,0
"The Michael Jackson accusers: The abuse didn't feel strange, because he was like a god",2019-03-04,Mar 2019,https://is.gd/oTLXRn,0
Luke Perry: forever the thrillingly cool teen pinup,2019-03-04,Mar 2019,https://is.gd/g1rMKL,0
"Marie Kondo, megastars and masturbatory congratulation: my night at the Oscars",2019-02-25,Feb 2019,https://is.gd/7hOSI9,0
Here's my advice for teenage girls: don't make the same mistakes I did,2019-03-02,Mar 2019,https://is.gd/0At4yc,0
People rush to excuse rock stars behaving badly  even the mediocre ones,2019-02-23,Feb 2019,https://is.gd/uRl44D,0
Dolly Parton on sexual politics: Ive probably hit on some people myself!,2019-02-24,Feb 2019,https://is.gd/Njmnlo,0
"Vogue has a new editor. Bad news, it's not me  but here's my advice",2017-07-01,Jul 2017,https://is.gd/wEThtK,0
Rob Kardashian fails spectacularly at being a great Husband,2017-07-06,Jul 2017,https://is.gd/8wejig,0
Michelle Obama is right  as always  the fashion standards in the White House are unfair,2017-06-26,Jun 2017,https://is.gd/Qhno5H,0
Was this the wokest Glastonbury ever?,2017-06-25,Jun 2017,https://is.gd/yulWme,0
Ive always loved living in cities  but you have to tell yourself lies to get by,2017-06-24,Jun 2017,https://is.gd/5y29IE,0
From Notting Hill to Hampstead: why do directors get London so wrong?,2017-06-21,Jun 2017,https://is.gd/dQvyKc,0
Glastonbury isnt about looking on trend  its about survival,2017-06-19,Jun 2017,https://is.gd/hnL6tG,0
Melania Trump has moved into the White House. Should we send a rescue party?,2017-06-17,Jun 2017,https://is.gd/k7RMjp,0
I bow to The West Wing on most things. But even Rob Lowe gets it wrong,2017-06-10,Jun 2017,https://is.gd/rbuNg6,0
"With critics like these, it's no wonder Harper Lee stayed silent",2015-07-14,Jul 2015,https://is.gd/frpWbm,0
Celebrity daughters: fashions go-to replacements for their decrepit mothers,2015-07-13,Jul 2015,https://is.gd/iWyFvo,0
"Paul Rudd on Ant-Man, being Hollywoods go-to nice guy and growing up with English parents in Kansas",2015-07-09,Jul 2015,https://is.gd/2lxWSM,0
Amy Poehler: I see life as being attacked by a bear',2015-07-11,Jul 2015,https://is.gd/pBN15T,0
"Sorry, London: youre too uncool. And way behind New York",2015-07-02,Jul 2015,https://is.gd/2Afr9i,0
"Monogrammed festival wellies: at last, a surefire way to identify middling celebrities",2015-07-06,Jul 2015,https://is.gd/bzB4qh,0
